make_model,price,body_type,warranty,mileage,gearbox,fuel_type,colour,seats,engine_size,gears,co2_emissions,drivetrain,non_smoker,emission_sticker,upholstery,power_kW,fuel_consumption_comb,age,safety_security_package,comfort_convenience_package,ent_media_package
Dacia Duster,20610.0, Off-Road/Pick-up,Yes,5.0,Manual,Benzine,Grey,5.0,999.0,6.0,130.0,Front,No,No sticker,Part leather,74.0,5.7,0.0,Advanced,Advanced,Advanced
Dacia Duster,26980.0, Off-Road/Pick-up,Yes,10.0,Automatic,Benzine,White,5.0,1332.0,6.0,141.0,Front,No,Green,Cloth,110.0,6.2,0.0,Enhanced,Advanced,Basic
Dacia Duster,22990.0, Off-Road/Pick-up,Yes,7943.0,Manual,Diesel,Grey,5.0,1461.0,6.0,127.0,Front,No,Green,Cloth,85.0,4.58494623655914,0.0,Advanced,Enhanced,Enhanced
Dacia Duster,21989.0, Off-Road/Pick-up,No,11.0,Manual,Benzine,Grey,5.0,1332.0,6.0,131.0,Front,Yes,Green,Cloth,96.0,5.7,0.0,Advanced,Advanced,Advanced
Dacia Duster,20980.0, Off-Road/Pick-up,Yes,20.0,Manual,Benzine,White,5.0,999.0,6.0,116.0,Front,No,No sticker,Cloth,74.0,7.1,0.0,Advanced,Enhanced,Advanced
Dacia Duster,22980.0, Off-Road/Pick-up,Yes,13200.0,Manual,Benzine,Red,5.0,1332.0,6.0,145.0,4WD,Yes,No sticker,Cloth,110.0,6.4,0.0,Advanced,Advanced,Advanced
Dacia Duster,23970.0, Off-Road/Pick-up,No,1.0,Manual,Diesel,White,5.0,1461.0,6.0,119.0,4WD,No,Green,Cloth,85.0,4.5,0.0,Advanced,Enhanced,Enhanced
Dacia Duster,18540.0, Off-Road/Pick-up,No,1200.0,Manual,Benzine,Orange,5.0,999.0,6.0,143.0,Front,Yes,Green,Cloth,67.0,5.7,0.0,Advanced,Advanced,Advanced
Dacia Duster,20700.0, Off-Road/Pick-up,No,2683.0,Manual,Diesel,White,5.0,1461.0,6.0,106.0,Front,No,No sticker,Cloth,85.13333333333334,4.58494623655914,0.0,Advanced,Advanced,Advanced
Dacia Duster,20950.0, Off-Road/Pick-up,No,3711.0,Manual,Diesel,Red,5.0,1461.0,6.0,106.0,Front,No,Green,Cloth,85.13333333333334,4.58494623655914,0.0,Advanced,Advanced,Advanced
Dacia Duster,29950.0, Off-Road/Pick-up,Yes,1252.0,Automatic,Benzine,Blue,5.0,1332.0,6.0,121.0,Front,No,Green,Part leather,110.0,6.2,0.0,Advanced,Advanced,Advanced
Dacia Duster,22678.0, Off-Road/Pick-up,No,13.0,Manual,Benzine,Orange,5.0,1332.0,6.0,131.0,Front,Yes,Green,Full leather,96.0,5.7,0.0,Advanced,Advanced,Advanced
Dacia Duster,21989.0, Off-Road/Pick-up,No,10.0,Manual,Benzine,Orange,5.0,1332.0,6.0,131.0,Front,Yes,No sticker,Cloth,96.0,5.7,0.0,Advanced,Advanced,Advanced
Dacia Duster,21350.0, Off-Road/Pick-up,No,3894.0,Manual,Diesel,White,5.0,1461.0,6.0,106.0,Front,No,No sticker,Part leather,85.13333333333334,4.58494623655914,0.0,Advanced,Advanced,Advanced
Dacia Duster,24949.0, Off-Road/Pick-up,No,1500.0,Manual,Diesel,Black,5.0,1461.0,6.0,124.0,Front,Yes,Green,Part leather,84.0,4.7,0.0,Advanced,Advanced,Enhanced
Dacia Duster,21490.0, Off-Road/Pick-up,No,10.0,Manual,LPG,White,5.0,999.0,6.0,106.0,Front,No,No sticker,Part leather,74.0,6.747058823529411,0.0,Advanced,Advanced,Advanced
Dacia Duster,20200.0, Off-Road/Pick-up,No,7022.0,Manual,Diesel,Orange,5.0,1461.0,6.0,106.0,Front,No,Green,Part leather,85.13333333333334,4.58494623655914,0.0,Advanced,Advanced,Advanced
Dacia Duster,21867.0, Off-Road/Pick-up,No,10.0,Manual,LPG,Blue,5.0,999.0,6.0,132.0,Front,Yes,No sticker,Other,74.0,5.8,0.0,Advanced,Advanced,Advanced
Dacia Duster,21488.0, Off-Road/Pick-up,No,10.0,Manual,LPG,White,5.0,999.0,6.0,132.0,Front,Yes,No sticker,Part leather,74.0,5.8,0.0,Advanced,Advanced,Advanced
Dacia Duster,20990.0, Off-Road/Pick-up,No,6600.0,Manual,Benzine,Black,5.0,999.0,6.0,108.0,Front,Yes,Green,Part leather,67.0,6.36358695652174,0.0,Advanced,Advanced,Advanced
Dacia Duster,20610.0, Off-Road/Pick-up,Yes,5.0,Manual,Benzine,Grey,5.0,999.0,6.0,130.0,Front,No,No sticker,Full leather,74.0,5.7,0.0,Advanced,Advanced,Advanced
Dacia Duster,20950.0, Off-Road/Pick-up,No,4480.0,Manual,Diesel,White,5.0,1461.0,6.0,106.0,Front,No,No sticker,Part leather,85.13333333333334,4.58494623655914,0.0,Advanced,Advanced,Advanced
Dacia Duster,21390.0, Off-Road/Pick-up,No,2198.0,Manual,Benzine,Silver,5.0,999.0,6.0,108.0,Front,No,No sticker,Part leather,67.0,6.36358695652174,0.0,Enhanced,Advanced,Enhanced
Dacia Duster,21390.0, Off-Road/Pick-up,No,2104.0,Manual,Benzine,Black,5.0,999.0,6.0,108.0,Front,No,No sticker,Part leather,67.0,6.36358695652174,0.0,Advanced,Advanced,Enhanced
Dacia Duster,24450.0, Off-Road/Pick-up,No,10.0,Automatic,Benzine,White,5.0,1333.0,6.0,140.0,Front,No,Green,Part leather,95.5625,6.36358695652174,0.0,Advanced,Advanced,Advanced
Dacia Duster,17955.0, Off-Road/Pick-up,Yes,9379.0,Manual,Benzine,Black,5.0,1333.0,6.0,140.0,Front,No,Green,Part leather,96.0,6.36358695652174,0.0,Enhanced,Advanced,Enhanced
Dacia Duster,17955.0, Off-Road/Pick-up,Yes,9379.0,Manual,Benzine,Black,5.0,1333.0,6.0,140.0,Front,No,Green,Full leather,96.0,6.36358695652174,0.0,Enhanced,Advanced,Enhanced
Dacia Duster,27800.0, Station wagon,No,10.0,Manual,Diesel,White,5.0,1461.0,6.0,139.0,Front,No,Green,Cloth,87.0,4.582690794649881,0.0,Advanced,Advanced,Advanced
Dacia Duster,27800.0, Station wagon,No,10.0,Manual,Diesel,White,5.0,1461.0,6.0,139.0,Front,No,No sticker,Cloth,87.0,4.582690794649881,0.0,Advanced,Advanced,Advanced
Dacia Jogger,24280.0, Off-Road/Pick-up,Yes,10.0,Manual,LPG,Brown,7.0,999.0,6.0,122.0,Front,Yes,No sticker,Cloth,74.0,7.8,0.0,Advanced,Advanced,Advanced
Dacia Jogger,21390.0, Station wagon,No,1234.0,Manual,Benzine,Grey,5.0,999.0,6.0,127.0,Front,Yes,Green,Part leather,81.0,5.6,0.0,Advanced,Advanced,Advanced
Dacia Jogger,21100.0, Station wagon,Yes,5000.0,Manual,Benzine,Brown,7.0,999.0,6.0,130.0,Front,No,Green,Part leather,81.0,5.675675675675677,0.0,Enhanced,Advanced,Advanced
Dacia Jogger,21490.0, Station wagon,Yes,7952.0,Manual,Benzine,Grey,7.0,999.0,6.0,130.0,Front,No,Green,Part leather,81.0,5.675675675675677,0.0,Advanced,Advanced,Enhanced
Dacia Jogger,20770.0, Station wagon,Yes,20.0,Manual,Benzine,White,5.0,999.0,6.0,108.0,Front,No,Green,Other,81.0,5.675675675675677,0.0,Advanced,Enhanced,Advanced
Dacia Jogger,18160.0, Station wagon,Yes,8.0,Manual,LPG,Silver,5.0,1000.0,6.0,110.0,Front,No,No sticker,Cloth,74.0,6.333333333333333,0.0,Advanced,Enhanced,Advanced
Dacia Jogger,20890.0, Station wagon,No,3256.0,Manual,LPG,Bronze,5.0,999.0,6.0,120.0,Front,Yes,No sticker,Full leather,74.0,7.7,0.0,Advanced,Advanced,Advanced
Dacia Jogger,22299.0, Station wagon,No,18.0,Manual,Benzine,White,5.0,999.0,6.0,130.0,Front,Yes,Green,Velour,81.0,6.4,0.0,Advanced,Advanced,Advanced
Dacia Jogger,20799.0, Station wagon,No,12.0,Manual,Benzine,Blue,5.0,999.0,6.0,130.0,Front,Yes,Green,Full leather,81.0,6.4,0.0,Advanced,Advanced,Advanced
Dacia Jogger,23900.0, Station wagon,Yes,20.0,Manual,Benzine,Blue,5.0,999.0,6.0,130.0,Front,Yes,Green,Full leather,81.0,5.675675675675677,0.0,Advanced,Advanced,Advanced
Dacia Jogger,24690.0, Station wagon,Yes,50.0,Manual,Benzine,Black,7.0,999.0,6.0,130.0,Front,Yes,Green,Full leather,81.0,5.6,0.0,Advanced,Advanced,Advanced
Dacia Jogger,21750.0, Station wagon,Yes,50.0,Manual,Benzine,Grey,5.0,999.0,6.0,128.0,Front,Yes,Green,Full leather,81.0,6.3,0.0,Advanced,Advanced,Advanced
Dacia Jogger,23990.0, Station wagon,Yes,50.0,Manual,Benzine,White,7.0,999.0,6.0,130.0,Front,Yes,Green,Full leather,81.0,6.4,0.0,Advanced,Advanced,Advanced
Dacia Jogger,22400.0, Station wagon,Yes,50.0,Manual,Benzine,White,7.0,999.0,6.0,112.0,Front,Yes,Green,Full leather,81.0,5.7,0.0,Advanced,Advanced,Advanced
Dacia Jogger,23950.0, Station wagon,Yes,5.0,Manual,Benzine,Silver,5.0,999.0,6.0,128.0,Front,No,Green,Full leather,81.0,5.7,0.0,Advanced,Advanced,Advanced
Dacia Jogger,22490.0, Station wagon,Yes,10000.0,Manual,LPG,Brown,5.0,999.0,6.0,120.0,Front,No,Green,Cloth,74.0,6.1,0.0,Advanced,Advanced,Advanced
Dacia Jogger,25772.0, Station wagon,No,10.0,Manual,Benzine,Grey,7.0,999.0,6.0,129.0,Front,Yes,Green,Cloth,81.0,5.7,0.0,Enhanced,Advanced,Advanced
Dacia Jogger,26298.0, Station wagon,No,50.0,Manual,Benzine,Grey,7.0,999.0,6.0,138.0,Front,Yes,Green,Cloth,81.0,5.6,0.0,Enhanced,Advanced,Advanced
Dacia Jogger,26298.0, Station wagon,No,50.0,Manual,Benzine,Grey,7.0,999.0,6.0,138.0,Front,Yes,Green,Other,81.0,5.6,0.0,Enhanced,Advanced,Advanced
Dacia Jogger,26298.0, Station wagon,No,50.0,Manual,Benzine,Grey,7.0,999.0,6.0,138.0,Front,Yes,No sticker,Cloth,81.0,5.6,0.0,Enhanced,Advanced,Advanced
Dacia Jogger,26298.0, Station wagon,No,50.0,Manual,Benzine,Grey,7.0,999.0,6.0,138.0,Front,Yes,Green,Cloth,81.0,5.6,0.0,Enhanced,Advanced,Advanced
Dacia Jogger,26298.0, Station wagon,No,50.0,Manual,Benzine,Grey,7.0,999.0,6.0,138.0,Front,Yes,Green,Other,81.0,5.6,0.0,Enhanced,Advanced,Advanced
Dacia Jogger,26298.0, Station wagon,No,50.0,Manual,Benzine,Grey,7.0,999.0,6.0,138.0,Front,Yes,Green,alcantara,81.0,5.6,0.0,Enhanced,Advanced,Advanced
Dacia Jogger,23590.0, Station wagon,No,10.0,Manual,Benzine,Grey,7.0,999.0,6.0,130.0,Front,No,Green,Cloth,81.0,5.7,0.0,Advanced,Enhanced,Enhanced
Dacia Jogger,26298.0, Station wagon,No,50.0,Manual,Benzine,Black,7.0,999.0,6.0,138.0,Front,Yes,Green,Cloth,81.0,5.6,0.0,Enhanced,Advanced,Advanced
Dacia Jogger,26255.0, Station wagon,No,50.0,Manual,Benzine,Black,7.0,999.0,6.0,138.0,Front,Yes,Green,Cloth,81.0,5.6,0.0,Enhanced,Advanced,Advanced
Dacia Jogger,26298.0, Station wagon,No,50.0,Manual,Benzine,Black,7.0,999.0,6.0,138.0,Front,Yes,Green,Cloth,81.0,5.6,0.0,Enhanced,Advanced,Advanced
Dacia Jogger,26298.0, Station wagon,No,50.0,Manual,Benzine,Black,7.0,999.0,6.0,138.0,Front,Yes,Green,Cloth,81.0,5.6,0.0,Enhanced,Advanced,Advanced
Dacia Jogger,26298.0, Station wagon,No,50.0,Manual,Benzine,Black,7.0,999.0,6.0,138.0,Front,Yes,Green,Full leather,81.0,5.6,0.0,Enhanced,Advanced,Advanced
Dacia Jogger,26297.0, Station wagon,No,50.0,Manual,Benzine,Black,7.0,999.0,6.0,108.0,Front,Yes,Green,Full leather,81.0,5.675675675675677,0.0,Enhanced,Advanced,Advanced
Dacia Jogger,24599.0, Station wagon,No,6.0,Manual,Benzine,Grey,7.0,999.0,6.0,108.0,Front,No,No sticker,Part leather,81.0,5.675675675675677,0.0,Advanced,Advanced,Advanced
Dacia Jogger,22790.0, Station wagon,Yes,50.0,Manual,Benzine,Brown,7.0,999.0,6.0,129.0,Front,Yes,Green,Cloth,81.0,5.7,0.0,Advanced,Advanced,Advanced
Dacia Jogger,21690.0, Station wagon,No,2500.0,Manual,Benzine,Black,7.0,999.0,6.0,138.0,Front,Yes,Green,Cloth,81.0,5.7,0.0,Advanced,Advanced,Advanced
Dacia Jogger,25190.0, Station wagon,No,10.0,Manual,Benzine,Brown,7.0,999.0,6.0,130.0,Front,No,Green,Cloth,81.0,5.7,0.0,Advanced,Advanced,Advanced
Dacia Jogger,22140.0, Sedan,No,8.0,Manual,Benzine,Grey,5.0,999.0,6.0,130.0,Front,No,Green,Cloth,81.0,5.7,0.0,Advanced,Advanced,Basic
Dacia Lodgy,24900.0, Station wagon,Yes,10.0,Manual,Diesel,White,7.0,1461.0,6.0,131.0,Front,No,Green,Part leather,85.0,5.1,0.0,Advanced,Enhanced,Advanced
Dacia Lodgy,19500.0, Station wagon,No,0.0,Manual,Benzine,Beige,5.0,1598.0,6.0,148.0,Front,No,Green,Cloth,62.0,6.7,0.0,Advanced,Enhanced,Advanced
Dacia Logan,17685.0, Sedan,No,10.0,Manual,LPG,Grey,5.0,999.0,5.0,116.0,Front,Yes,No sticker,Full leather,74.0,5.1,0.0,Enhanced,Advanced,Advanced
Dacia Logan,16880.0, Sedan,Yes,20.0,Manual,Benzine,White,5.0,999.0,6.0,101.0,Front,No,Green,Cloth,74.0,6.5,0.0,Advanced,Enhanced,Advanced
Dacia Logan,17290.0, Sedan,No,20.0,Automatic,Benzine,White,5.0,898.0,5.0,131.0,Front,Yes,Green,Cloth,66.0,5.2,0.0,Advanced,Enhanced,Advanced
Dacia Sandero,14130.0, Compact,No,1999.0,Manual,LPG,White,5.0,999.0,6.0,119.0,Front,Yes,No sticker,Cloth,67.0,5.2,0.0,Advanced,Advanced,Advanced
Dacia Sandero,14780.0, Compact,No,1879.0,Manual,Benzine,Orange,5.0,999.0,6.0,113.0,Front,Yes,Green,Cloth,67.0,5.1,0.0,Advanced,Advanced,Basic
Dacia Sandero,13760.0, Compact,No,10.0,Manual,LPG,Black,5.0,999.0,6.0,117.0,Front,Yes,Green,Cloth,74.0,5.1,0.0,Advanced,Advanced,Advanced
Dacia Sandero,13760.0, Compact,No,10.0,Manual,LPG,Black,5.0,999.0,6.0,117.0,Front,Yes,Green,Cloth,74.0,5.1,0.0,Advanced,Advanced,Advanced
Dacia Sandero,19140.0, Compact,No,1999.0,Automatic,Benzine,Red,5.0,999.0,6.0,119.0,Front,Yes,Green,Cloth,67.0,5.2,0.0,Advanced,Advanced,Advanced
Dacia Sandero,15080.0, Compact,No,2212.0,Manual,Benzine,Grey,5.0,999.0,5.0,119.0,Front,Yes,Green,Cloth,67.0,5.3,0.0,Advanced,Advanced,Advanced
Dacia Sandero,13780.0, Compact,No,2300.0,Manual,LPG,White,5.0,999.0,6.0,117.0,Front,Yes,Green,Cloth,74.0,5.1,0.0,Advanced,Advanced,Advanced
Dacia Sandero,15230.0, Compact,No,3000.0,Manual,LPG,Grey,5.0,999.0,6.0,119.0,Front,Yes,Green,Cloth,74.0,5.2,0.0,Advanced,Advanced,Advanced
Dacia Sandero,14080.0, Compact,No,1001.0,Manual,Benzine,Blue,5.0,999.0,6.0,111.0,Front,Yes,Green,Cloth,67.0,4.8,0.0,Advanced,Advanced,Advanced
Dacia Sandero,15990.0, Compact,Yes,4643.0,Manual,Benzine,White,5.0,999.0,6.0,108.0,Front,No,Green,Cloth,67.0,4.9,0.0,Advanced,Advanced,Basic
Dacia Sandero,12010.0, Compact,No,10.0,Manual,Benzine,Red,5.0,999.0,5.0,114.0,Front,Yes,Green,Full leather,49.0,4.3,0.0,Advanced,Advanced,Advanced
Dacia Sandero,14727.0, Compact,Yes,2386.0,Manual,Benzine,Blue,5.0,999.0,5.0,108.0,Front,No,Green,Cloth,67.0,5.270681818181818,0.0,Enhanced,Enhanced,Enhanced
Dacia Sandero,14727.0, Compact,Yes,2386.0,Manual,Benzine,Blue,5.0,999.0,5.0,108.0,Front,No,Green,Full leather,67.0,5.270681818181818,0.0,Enhanced,Enhanced,Enhanced
Dacia Sandero,14000.0, Compact,Yes,2579.0,Manual,Benzine,White,5.0,999.0,5.0,108.0,Front,No,Green,Full leather,49.0,4.3,0.0,Advanced,Advanced,Advanced
Dacia Sandero,14727.0, Compact,Yes,2386.0,Manual,Benzine,Blue,5.0,999.0,5.0,108.0,Front,No,Green,Cloth,67.0,5.270681818181818,0.0,Enhanced,Enhanced,Enhanced
Dacia Sandero,14727.0, Compact,Yes,2386.0,Manual,Benzine,Blue,5.0,999.0,5.0,108.0,Front,No,Green,Full leather,67.0,5.270681818181818,0.0,Enhanced,Enhanced,Enhanced
Dacia Sandero,19390.0, Compact,Yes,13450.0,Manual,Benzine,White,5.0,999.0,5.0,119.0,Front,Yes,Green,Cloth,74.0,5.2,0.0,Advanced,Advanced,Enhanced
Dacia Sandero,14727.0, Compact,Yes,2386.0,Manual,Benzine,Blue,5.0,999.0,5.0,108.0,Front,No,Green,Cloth,67.0,5.270681818181818,0.0,Enhanced,Enhanced,Enhanced
Dacia Sandero,16199.0, Compact,Yes,4.0,Manual,Benzine,White,5.0,999.0,6.0,108.0,Front,No,Green,Full leather,67.0,4.9,0.0,Advanced,Advanced,Advanced
Dacia Sandero,15990.0, Compact,Yes,15.0,Manual,LPG,Blue,5.0,999.0,6.0,106.0,Front,No,No sticker,Full leather,74.0,5.133333333333334,0.0,Advanced,Advanced,Advanced
Dacia Sandero,14200.0, Compact,Yes,2614.0,Manual,Benzine,White,5.0,999.0,5.0,108.0,Front,No,Green,Full leather,49.0,4.3,0.0,Advanced,Advanced,Advanced
Dacia Sandero,16899.0, Compact,Yes,4.0,Manual,LPG,Red,5.0,999.0,6.0,106.0,Front,No,Green,Full leather,74.0,5.133333333333334,0.0,Advanced,Advanced,Advanced
Dacia Sandero,14000.0, Compact,Yes,2614.0,Manual,Benzine,White,5.0,999.0,5.0,108.0,Front,No,Green,Full leather,49.0,4.3,0.0,Advanced,Advanced,Advanced
Dacia Sandero,17690.0, Compact,Yes,20.0,Manual,Benzine,Blue,5.0,999.0,6.0,117.0,Front,No,Green,Cloth,66.0,5.1,0.0,Advanced,Advanced,Advanced
Dacia Sandero,17690.0, Compact,Yes,20.0,Manual,Benzine,Blue,5.0,999.0,6.0,117.0,Front,No,Green,Full leather,66.0,5.1,0.0,Advanced,Advanced,Advanced
Dacia Sandero,15899.0, Compact,Yes,4.0,Manual,Benzine,White,5.0,999.0,6.0,108.0,Front,No,Green,Cloth,67.0,4.9,0.0,Advanced,Advanced,Advanced
Dacia Sandero,16899.0, Compact,Yes,4.0,Manual,LPG,White,5.0,999.0,6.0,106.0,Front,No,Green,Cloth,74.0,5.133333333333334,0.0,Advanced,Advanced,Advanced
Dacia Sandero,17690.0, Compact,Yes,20.0,Manual,Benzine,Grey,5.0,999.0,6.0,117.0,Front,No,Green,Cloth,66.0,5.1,0.0,Advanced,Advanced,Advanced
Dacia Sandero,18990.0, Off-Road/Pick-up,Yes,9.0,Automatic,Benzine,Black,5.0,999.0,5.0,119.0,Front,Yes,Green,Other,67.0,5.2,0.0,Advanced,Advanced,Advanced
Dacia Sandero,18990.0, Off-Road/Pick-up,Yes,12.0,Automatic,Benzine,Black,5.0,999.0,5.0,119.0,Front,Yes,Green,Cloth,67.0,5.2,0.0,Advanced,Advanced,Advanced
Dacia Sandero,18990.0, Off-Road/Pick-up,Yes,15.0,Automatic,Benzine,Blue,5.0,999.0,5.0,119.0,Front,Yes,Green,Cloth,67.0,5.2,0.0,Advanced,Advanced,Advanced
Dacia Sandero,18990.0, Off-Road/Pick-up,Yes,11.0,Automatic,Benzine,Black,5.0,999.0,5.0,119.0,Front,Yes,Green,Cloth,67.0,5.2,0.0,Advanced,Advanced,Advanced
Dacia Sandero,18990.0, Off-Road/Pick-up,Yes,10.0,Automatic,Benzine,Black,5.0,999.0,5.0,119.0,Front,Yes,Green,Cloth,67.0,5.2,0.0,Advanced,Advanced,Advanced
Dacia Sandero,18990.0, Off-Road/Pick-up,Yes,11.0,Automatic,Benzine,Blue,5.0,999.0,5.0,119.0,Front,Yes,Green,Other,67.0,5.2,0.0,Advanced,Advanced,Advanced
Dacia Sandero,18990.0, Off-Road/Pick-up,Yes,12.0,Automatic,Benzine,Silver,5.0,999.0,5.0,119.0,Front,Yes,Green,Other,67.0,5.2,0.0,Advanced,Advanced,Advanced
Dacia Sandero,18990.0, Off-Road/Pick-up,Yes,9.0,Automatic,Benzine,Orange,5.0,999.0,5.0,119.0,Front,Yes,Green,Other,67.0,5.2,0.0,Advanced,Advanced,Advanced
Dacia Sandero,18990.0, Off-Road/Pick-up,Yes,15.0,Automatic,Benzine,Black,5.0,999.0,5.0,119.0,Front,Yes,Green,Part leather,67.0,5.2,0.0,Advanced,Advanced,Advanced
Dacia Sandero,18990.0, Off-Road/Pick-up,Yes,9.0,Automatic,Benzine,Red,5.0,999.0,5.0,119.0,Front,Yes,Green,Cloth,67.0,5.2,0.0,Advanced,Advanced,Advanced
Dacia Sandero,18990.0, Off-Road/Pick-up,Yes,11.0,Automatic,Benzine,Grey,5.0,999.0,5.0,119.0,Front,Yes,Green,Cloth,67.0,5.2,0.0,Advanced,Advanced,Advanced
Dacia Sandero,18990.0, Off-Road/Pick-up,Yes,9.0,Automatic,Benzine,Grey,5.0,999.0,5.0,119.0,Front,Yes,Green,Cloth,67.0,5.2,0.0,Advanced,Advanced,Advanced
Dacia Sandero,18990.0, Off-Road/Pick-up,Yes,11.0,Automatic,Benzine,Red,5.0,999.0,5.0,119.0,Front,Yes,Green,Part leather,67.0,5.2,0.0,Advanced,Advanced,Advanced
Dacia Sandero,18990.0, Off-Road/Pick-up,Yes,10.0,Automatic,Benzine,Black,5.0,999.0,5.0,119.0,Front,Yes,Green,Cloth,67.0,5.2,0.0,Advanced,Advanced,Advanced
Dacia Sandero,18990.0, Off-Road/Pick-up,Yes,10.0,Automatic,Benzine,White,5.0,999.0,5.0,119.0,Front,Yes,Green,Cloth,67.0,5.2,0.0,Advanced,Advanced,Advanced
Dacia Sandero,18990.0, Off-Road/Pick-up,Yes,12.0,Automatic,Benzine,Grey,5.0,999.0,5.0,119.0,Front,Yes,Green,Other,67.0,5.2,0.0,Advanced,Advanced,Advanced
Dacia Sandero,18990.0, Off-Road/Pick-up,Yes,10.0,Automatic,Benzine,Red,5.0,999.0,5.0,119.0,Front,Yes,Green,Cloth,67.0,5.2,0.0,Advanced,Advanced,Advanced
Dacia Sandero,18890.0, Off-Road/Pick-up,Yes,13.0,Automatic,Benzine,Blue,5.0,999.0,5.0,119.0,Front,Yes,No sticker,Other,67.0,5.2,0.0,Advanced,Advanced,Advanced
Dacia Sandero,18990.0, Off-Road/Pick-up,Yes,12.0,Automatic,Benzine,Grey,5.0,999.0,5.0,119.0,Front,Yes,Green,Other,67.0,5.2,0.0,Advanced,Advanced,Advanced
Dacia Sandero,18990.0, Off-Road/Pick-up,Yes,12.0,Automatic,Benzine,Red,5.0,999.0,5.0,119.0,Front,Yes,Green,Cloth,67.0,5.2,0.0,Advanced,Advanced,Advanced
Dacia Sandero,18990.0, Off-Road/Pick-up,Yes,10.0,Automatic,Benzine,Silver,5.0,999.0,5.0,119.0,Front,Yes,Green,Other,67.0,5.2,0.0,Advanced,Advanced,Advanced
Dacia Sandero,18990.0, Off-Road/Pick-up,Yes,6.0,Automatic,Benzine,White,5.0,999.0,5.0,119.0,Front,Yes,Green,Cloth,67.0,5.2,0.0,Advanced,Advanced,Advanced
Dacia Sandero,18990.0, Off-Road/Pick-up,Yes,10.0,Automatic,Benzine,Red,5.0,999.0,5.0,119.0,Front,Yes,No sticker,Cloth,67.0,5.2,0.0,Advanced,Advanced,Advanced
Dacia Sandero,18990.0, Off-Road/Pick-up,Yes,10.0,Automatic,Benzine,Blue,5.0,999.0,5.0,119.0,Front,Yes,Green,Cloth,67.0,5.2,0.0,Advanced,Advanced,Advanced
Dacia Sandero,18990.0, Off-Road/Pick-up,Yes,10.0,Automatic,Benzine,Orange,5.0,999.0,5.0,119.0,Front,Yes,Green,Part leather,67.0,5.2,0.0,Advanced,Advanced,Advanced
Dacia Sandero,17490.0, Sedan,Yes,9.0,Automatic,Benzine,White,5.0,999.0,5.0,114.0,Front,Yes,No sticker,Cloth,67.0,5.2,0.0,Advanced,Enhanced,Advanced
